GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8693973056097118,0.10539730332230499,0.05,49.3,3.1304951684997055,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8149556688023536,0.19983084224328038,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8839950191455914,0.21031263623895827,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9213444107085177,0.0417531480742916,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8899153430548644,0.16230957212016214,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8505373457387141,0.2408067581681966,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.942356941942646,0.027737023395001774,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9285630838636242,0.03661412135107586,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8843621104370895,0.07305972009017438,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8687431825633655,0.2094353944502457,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8873584959811655,0.11265421332343847,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9215580543858822,0.033436607055805596,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.895392154780748,0.0748567809051525,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8652646868635833,0.20814574029910562,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7658872125137893,0.1924701494706738,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.7714691038036668,0.20313382920897105,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.773182292632575,0.1628715911522869,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.660224905735292,0.2418371044192299,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7915797347419175,0.15731935114327877,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8098743653236798,0.1139303197882303,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7144430538167866,0.32985366053796156,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7823793084305891,0.21719105044469553,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9041609346441216,0.06903286578970566,0.1,48.85,3.5729244987382827,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8619047719518945,0.11131356435723837,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8192159102500953,0.13653050806275374,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8121857475841051,0.28266623797055757,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8726838215928353,0.0614422261573928,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8430293421704818,0.20234787121990486,0.0,49.75,1.118033988749895,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8507706230888432,0.0914543597934305,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8210039973701057,0.09795388366035242,0.0,49.15,3.8013155617496426,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8675256507447918,0.09614944020688973,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8761917229114262,0.04996615216889458,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9387729228130549,0.04349379916407875,0.05,92.05,20.745259445803136,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9324925520596877,0.04014455603288808,0.05,91.15,21.270872102478545,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9354142122445077,0.04244416760497485,0.05,77.95,29.42157282281865,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9301174402430914,0.040095901134864484,0.05,81.5,25.942243542145693,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9201399667124364,0.03665120148055453,0.0,91.1,12.358248896565957,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9220829656772033,0.03830524262639521,0.0,84,17.90030873006326,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9170721886669984,0.06100700028711833,0.05,97,13.416407864998739,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8715531561903288,0.20867879984848747,0.05,97,13.416407864998739,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9104805570435176,0.06168891865731008,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8673287445714135,0.1045337845584706,0.05,95.2,15.278467820673917,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8736513429334712,0.210132153552491,0.0,99.25,3.3541019662496847,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8651365118467936,0.07146700013272846,0.05,93.75,19.254186147706328,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8991226314908075,0.21342008739330184,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9452391247119786,0.03244900940144151,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9429440022712434,0.029237253077006985,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9219282083644813,0.08047140002282878,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9410181705700481,0.03248151358279249,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9400918926426981,0.03330057095147929,0.05,97.9,9.391485505499118,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8944707444597998,0.04329688691162797,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.862057649692905,0.20621870020397828,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8672009742566908,0.21092233093683796,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.918148419886793,0.055298927952524585,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8323147636460887,0.2860904529378375,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9325249270332712,0.03445179999227143,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
