convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.8302109113154441,0.2540481341110694,0.15,93.65,18.351179511783002,tabu_size=400; nbour=adjacent
Tabu search,0.8713239175344508,0.21061390888317283,0.05,100,0.0,tabu_size=700; nbour=Hamming
Tabu search,0.8509617395601622,0.2178690841324439,0.1,96.1,12.160765211380236,tabu_size=700; nbour=adjacent
Tabu search,0.8217730405964873,0.2852573090600728,0.05,100,0.0,tabu_size=1000; nbour=Hamming
Tabu search,0.6679129381904563,0.4105055691804896,0.1,97.2,8.64261169104023,tabu_size=1000; nbour=adjacent
Tabu search,0.9399031513541425,0.05907510396273271,0.3,97.7,6.751997755050762,tabu_size=2000; nbour=Hamming
Tabu search,0.6914938762634044,0.41440328885779554,0.25,92,18.890264827766654,tabu_size=2000; nbour=adjacent
Tabu search,0.892358257758465,0.2137764546272015,0.25,175.7,39.18122536435827,tabu_size=4; nbour=Hamming
Tabu search,0.6530088834828756,0.40483558985448637,0.15,113.45,56.40219760556181,tabu_size=4; nbour=adjacent
Tabu search,0.9564656490649779,0.04728764913536243,0.45,167.1,43.608183683920224,tabu_size=8; nbour=Hamming
Tabu search,0.7687369786061675,0.3527121422917815,0.25,136.35,45.9075443862874,tabu_size=8; nbour=adjacent
Tabu search,0.9440838584554611,0.04199842664709879,0.3,183.2,30.445118872454657,tabu_size=16; nbour=Hamming
Tabu search,0.7877836446457567,0.34242077684483496,0.2,163.9,60.70714862960409,tabu_size=16; nbour=adjacent
Tabu search,0.9311187678425984,0.06729336729075469,0.35,173.3,40.710919264595596,tabu_size=32; nbour=Hamming
Tabu search,0.8731092143000077,0.20944352434066546,0.15,181.35,48.606123720760685,tabu_size=32; nbour=adjacent
Tabu search,0.9343653683992617,0.0639684551454072,0.35,179.15,31.74118194993607,tabu_size=64; nbour=Hamming
Tabu search,0.6725281122341275,0.41322629135714145,0.1,189.9,32.673665558866084,tabu_size=64; nbour=adjacent
Tabu search,0.939600715552732,0.049192104251356325,0.35,175.6,45.03846309427906,tabu_size=100; nbour=Hamming
Tabu search,0.8906951360359223,0.21485946227284233,0.3,168,57.927359230060034,tabu_size=100; nbour=adjacent
Tabu search,0.9332033467156208,0.057433350103739046,0.35,179.25,33.662215269380376,tabu_size=200; nbour=Hamming
Tabu search,0.7324411330344553,0.3783420472469944,0.15,187.3,35.78458945000296,tabu_size=200; nbour=adjacent
Tabu search,0.9162408086337563,0.05105549558173937,0.15,192.2,23.050516605696146,tabu_size=400; nbour=Hamming
Tabu search,0.7930592731043359,0.3446569434903642,0.25,178.3,46.375015959707845,tabu_size=400; nbour=adjacent
Tabu search,0.9519174163154891,0.04267551442179048,0.35,165.35,50.32554546466227,tabu_size=700; nbour=Hamming
Tabu search,0.749942210660164,0.3872545366794599,0.25,171.2,53.190422564890184,tabu_size=700; nbour=adjacent
Tabu search,0.9316391677264788,0.05669470168986516,0.3,180,41.29483209670112,tabu_size=1000; nbour=Hamming
Tabu search,0.5953633856218994,0.44962428005799937,0.1,188.75,34.636267879660174,tabu_size=1000; nbour=adjacent
Tabu search,0.94939493984197,0.07089448255648993,0.45,168.6,43.73653176151849,tabu_size=2000; nbour=Hamming
Tabu search,0.7951413446631084,0.3460352763816038,0.3,167.1,56.11163684543237,tabu_size=2000; nbour=adjacent
Tabu search,0.936619566490966,0.04159555389566215,0.25,229.4,72.27753527385364,tabu_size=4; nbour=Hamming
Tabu search,0.7467180445723018,0.34760310070856487,0.25,124.7,77.266524378114,tabu_size=4; nbour=adjacent
Tabu search,0.951609981071888,0.03726260000641949,0.35,281.25,127.50928758742491,tabu_size=8; nbour=Hamming
Tabu search,0.6903427754543575,0.4111996526393814,0.15,180.1,75.47805536780385,tabu_size=8; nbour=adjacent
Tabu search,0.9607249756128206,0.0375228061124597,0.45,274.7,147.52309364263866,tabu_size=16; nbour=Hamming
Tabu search,0.8359480187292461,0.2904812781391905,0.25,228,113.29932410259676,tabu_size=16; nbour=adjacent
Tabu search,0.9620192128645366,0.03654287995561055,0.45,284.35,139.46713440430102,tabu_size=32; nbour=Hamming
Tabu search,0.8040064040980196,0.34802926533195266,0.15,348.45,96.39254994142715,tabu_size=32; nbour=adjacent
Tabu search,0.9530477893752415,0.036481486199327236,0.35,311.85,129.35885419210678,tabu_size=64; nbour=Hamming
Tabu search,0.8799553356233036,0.21521707936827505,0.2,343.9,111.49033472387687,tabu_size=64; nbour=adjacent
Tabu search,0.9581088342199284,0.03644902158209973,0.4,292.15,139.17965481991064,tabu_size=100; nbour=Hamming
Tabu search,0.822851012617365,0.30640738811637097,0.15,353.95,113.40865788911589,tabu_size=100; nbour=adjacent
Tabu search,0.9582800721610257,0.039129256327478525,0.45,301.4,124.93678401495694,tabu_size=200; nbour=Hamming
Tabu search,0.7555809522479737,0.3879613284639868,0.05,386.35,61.04465578574426,tabu_size=200; nbour=adjacent
Tabu search,0.9479940572802164,0.036408686338130956,0.3,316.95,137.6668270250967,tabu_size=400; nbour=Hamming
Tabu search,0.9432528126014837,0.030319729058101808,0.15,358.6,102.29390062590808,tabu_size=400; nbour=adjacent
Tabu search,0.96292968404488,0.03892098489806362,0.5,286.3,124.92064849756677,tabu_size=700; nbour=Hamming
Tabu search,0.9382746906518876,0.0337819317200128,0.15,355.5,109.11051857249096,tabu_size=700; nbour=adjacent
Tabu search,0.9593754045821844,0.03239052212714815,0.35,309.6,130.4867002700598,tabu_size=1000; nbour=Hamming
Tabu search,0.8077199551955017,0.3495354559364272,0.2,338.1,127.35730921516172,tabu_size=1000; nbour=adjacent
Tabu search,0.9549653557040262,0.03865776201746519,0.4,309.65,118.49729066411959,tabu_size=2000; nbour=Hamming
Tabu search,0.8290823608278987,0.3056845871316344,0.25,327.65,130.01225650724345,tabu_size=2000; nbour=adjacent
Tabu search,0.9564119097563513,0.04609614629658205,0.45,222.3,101.63717720142411,tabu_size=4; nbour=Hamming
Tabu search,0.8607999787047005,0.1206436058265557,0.15,99.95,40.76308314355553,tabu_size=4; nbour=adjacent
Tabu search,0.95645176507519,0.041694079283061215,0.45,262.85,131.22631114544868,tabu_size=8; nbour=Hamming
Tabu search,0.6666452062901683,0.41113461473766116,0.15,205.35,100.26400676529727,tabu_size=8; nbour=adjacent
Tabu search,0.9569581680198497,0.03714046527790291,0.4,453.2,274.8552920701134,tabu_size=16; nbour=Hamming
Tabu search,0.7484472695215314,0.38637101077299696,0.2,239.75,111.6299690943252,tabu_size=16; nbour=adjacent
Tabu search,0.9751881571017147,0.03222055080393726,0.6,406.3,323.150624811077,tabu_size=32; nbour=Hamming
Tabu search,0.9559541892959316,0.046346451245790246,0.35,483.35,317.36435560807126,tabu_size=32; nbour=adjacent
Tabu search,0.9673397329230382,0.03155349591325792,0.45,513.65,329.0402750904195,tabu_size=64; nbour=Hamming
Tabu search,0.9568475004620097,0.022871304539899658,0.2,611.35,277.01173735345395,tabu_size=64; nbour=adjacent
Tabu search,0.9647235915301461,0.03086462659129635,0.4,542.6,328.19849577897054,tabu_size=100; nbour=Hamming
Tabu search,0.9529094549279414,0.016104626610607426,0.1,714.2,221.8388699270854,tabu_size=100; nbour=adjacent
Tabu search,0.9686339701747543,0.030083565377632404,0.45,520.2,323.3584616750304,tabu_size=200; nbour=Hamming
Tabu search,0.8607578901807279,0.2949841591485353,0.15,693.25,260.9615569591167,tabu_size=200; nbour=adjacent
Tabu search,0.9686893039536744,0.03649397062898524,0.55,453.55,326.5295142620503,tabu_size=400; nbour=Hamming
Tabu search,0.9542313590691175,0.02055020507663766,0.15,696.9,252.2486033553741,tabu_size=400; nbour=adjacent
Tabu search,0.9581970714926458,0.029817677859149096,0.3,614.2,292.1001270292882,tabu_size=700; nbour=Hamming
Tabu search,0.8673120771076883,0.29772017463677114,0.3,615.3,309.4312439571061,tabu_size=700; nbour=adjacent
Tabu search,0.96342935427843,0.03213366965235968,0.4,532.85,338.2436485574765,tabu_size=1000; nbour=Hamming
Tabu search,0.9529094549279414,0.016104626610607426,0.1,727.3,223.77175871856574,tabu_size=1000; nbour=adjacent
Tabu search,0.9712501115676464,0.030438163145908963,0.5,469.4,341.9332652649298,tabu_size=2000; nbour=Hamming
Tabu search,0.9159901674294572,0.21696914129878828,0.3,589.9,329.91544371247613,tabu_size=2000; nbour=adjacent
Tabu search,0.8928801391632059,0.2150034059511064,0.3,221.95,88.62604761462329,tabu_size=4; nbour=Hamming
Tabu search,0.7452392224148253,0.34085761767043143,0.1,109.15,57.70366676299468,tabu_size=4; nbour=adjacent
Tabu search,0.9687169708431344,0.03930905707666875,0.6,254.3,145.50966688813062,tabu_size=8; nbour=Hamming
Tabu search,0.7397619482320344,0.3814069113539815,0.15,172.95,78.48196239297684,tabu_size=8; nbour=adjacent
Tabu search,0.96348468805735,0.03820952772209653,0.5,394.1,273.2644564481351,tabu_size=16; nbour=Hamming
Tabu search,0.7551683875916134,0.3892690617343721,0.25,247.25,146.93352417442316,tabu_size=16; nbour=adjacent
Tabu search,0.9699282074264703,0.028476170496149634,0.45,525.1,331.18557367513205,tabu_size=32; nbour=Hamming
Tabu search,0.9550191933761739,0.026923596576962545,0.2,552.6,370.45411676964665,tabu_size=32; nbour=adjacent
Tabu search,0.96337402049951,0.024600223494036216,0.3,1102.45,621.5827399723861,tabu_size=64; nbour=Hamming
Tabu search,0.9738385860710785,0.026841044351012384,0.5,587.9,498.7985459819267,tabu_size=64; nbour=adjacent
Tabu search,0.9659901618924022,0.025604724413401572,0.35,1085.8,719.0970654047228,tabu_size=100; nbour=Hamming
Tabu search,0.9659901618924022,0.025604724413401572,0.35,791.55,435.60296685954984,tabu_size=100; nbour=adjacent
Tabu search,0.9659901618924022,0.025604724413401572,0.35,1092.9,710.9742685402305,tabu_size=200; nbour=Hamming
Tabu search,0.96337402049951,0.024600223494036216,0.3,1198.3,549.333002256756,tabu_size=200; nbour=adjacent
Tabu search,0.9659901618924022,0.025604724413401572,0.35,1079,728.7371918166673,tabu_size=400; nbour=Hamming
Tabu search,0.9516152176762254,0.017524738308740403,0.1,1449.15,464.4923969691057,tabu_size=400; nbour=adjacent
Tabu search,0.9686063032852943,0.026298745129357277,0.4,1017.6,735.0926472221036,tabu_size=700; nbour=Hamming
Tabu search,0.9607578791066179,0.023245026272081522,0.25,1298.5,607.4945527154522,tabu_size=700; nbour=adjacent
Tabu search,0.9659901618924022,0.025604724413401572,0.35,1100.9,699.3631614397111,tabu_size=1000; nbour=Hamming
Tabu search,0.9686063032852943,0.026298745129357277,0.4,1125.95,702.8981714826723,tabu_size=1000; nbour=adjacent
Tabu search,0.9686063032852943,0.026298745129357277,0.4,1019.05,731.3137043776264,tabu_size=2000; nbour=Hamming
Tabu search,0.9659901618924022,0.025604724413401572,0.35,1352.7,536.2505404242155,tabu_size=2000; nbour=adjacent
