pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.8423540717272626,0.14652890042691089,0.05,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8036529225589061,0.06887290011264996,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.7962417415061877,0.18433793160111844,0.05,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.8514062922659077,0.07934173298459662,0.05,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.897985147163431,0.10216735062222988,0.05,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.7959583571146986,0.06476511694572805,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7799482033443041,0.14761228262962084,0.05,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8476218631699632,0.08542491154848689,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8944987776100866,0.10651672696570949,0.05,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.7859816657464208,0.03888645115896497,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.7000532832750742,0.19052033100817492,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.806526932601815,0.06062439107079924,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.885745412321161,0.11587977973159569,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8031506081779075,0.08276127727269078,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.7984747952615728,0.1914448321396717,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.7972092473836518,0.20565479798327124,0.05,24.35,2.9068883707497264,walksize=0.1; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8568397283214995,0.15640046686494263,0.1,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8122907930389641,0.07778267914307081,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7301013365942981,0.22251528680263055,0.05,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8469505450692612,0.09076909942008342,0.05,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.8587696410813286,0.1452177701172668,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.8251771279074633,0.07124774717666468,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.643143885441408,0.22431851280841156,0.05,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8346042547590847,0.08165390563952417,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8908875159790411,0.10381833201084828,0.15,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.7970019798777641,0.052804560436275995,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7585753794874376,0.16917332419163572,0.05,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8275283094714456,0.0900016974139181,0.05,24.7,1.3416407864998738,walksize=0.1; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.8442597649528197,0.16463446642785215,0.05,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8060610809917748,0.08962611419705503,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.7569062140728064,0.18227683357552832,0.05,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.8519855635740581,0.08548243883946177,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.8904131414330065,0.1144439024236639,0.05,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8217059102818508,0.07137786924050979,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7646782363256807,0.1631451996117995,0.05,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8323620974533325,0.08898585924032928,0.0,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8403188165491373,0.165635122386759,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.8071110485886469,0.08168029641083004,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.7773733560231612,0.17176239599297563,0.05,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8266762467528395,0.07658432011792798,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8732829392002132,0.11810640554724591,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.7781192592990156,0.07964734460619619,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.784247315848654,0.14476476471983887,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8372836091865532,0.07754578978363853,0.05,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.821927465933846,0.11359225461800956,0.0,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=Hamming
