convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.6888260203184631,0.41244312763877233,0.2,91.55,18.33740784068974,tabu_size=200; nbour=adjacent
Tabu search,0.7889733233540401,0.3453176133322102,0.25,91.65,16.66156939597354,tabu_size=400; nbour=Hamming
Tabu search,0.5549997295223638,0.46614197469465757,0.1,96.7,10.285912696499032,tabu_size=400; nbour=adjacent
Tabu search,0.8664284677569835,0.2107692835562832,0.1,98.65,4.158377720116091,tabu_size=700; nbour=Hamming
Tabu search,0.5032422985283852,0.4696708336801844,0.15,92.1,21.613592214647074,tabu_size=700; nbour=adjacent
Tabu search,0.8934245196577839,0.21942446402152183,0.35,88.85,18.739979778678077,tabu_size=1000; nbour=Hamming
Tabu search,0.7547427623311694,0.3472210954006761,0.25,85.35,27.096853575354658,tabu_size=1000; nbour=adjacent
Tabu search,0.9174920529168866,0.06316535094315318,0.25,94.05,13.080620458485422,tabu_size=2000; nbour=Hamming
Tabu search,0.6665392113633873,0.4120457844880805,0.2,87.75,27.214305448653867,tabu_size=2000; nbour=adjacent
Tabu search,0.9147948586074565,0.05652156124906802,0.2,170.45,52.02071955632577,tabu_size=4; nbour=Hamming
Tabu search,0.7993294425224261,0.278404807380313,0.05,130.05,52.145015404916194,tabu_size=4; nbour=adjacent
Tabu search,0.955129860934014,0.039769631746433484,0.4,162.3,60.188388458764685,tabu_size=8; nbour=Hamming
Tabu search,0.8222155351875661,0.29248012042789184,0.25,154.15,70.69599482439247,tabu_size=8; nbour=adjacent
Tabu search,0.9433987250001893,0.035977056221310845,0.25,178.5,48.27934068358955,tabu_size=16; nbour=Hamming
Tabu search,0.7485329960434961,0.38620236892519694,0.25,162.7,67.41083779802457,tabu_size=16; nbour=adjacent
Tabu search,0.9458649934936993,0.04272579454009607,0.3,183.65,33.504555856747224,tabu_size=32; nbour=Hamming
Tabu search,0.7075413508308916,0.4208894397264651,0.25,169.1,63.33943645570519,tabu_size=32; nbour=adjacent
Tabu search,0.9574409447555918,0.037950978391553404,0.35,167.5,55.02200516731082,tabu_size=64; nbour=Hamming
Tabu search,0.7906431187826012,0.34266761757560954,0.15,180.3,53.62746743188508,tabu_size=64; nbour=adjacent
Tabu search,0.9299428650695795,0.055135118121606465,0.25,180.7,45.629053532982574,tabu_size=100; nbour=Hamming
Tabu search,0.5095941745015337,0.47385401950527634,0.1,191.85,30.14050430898594,tabu_size=100; nbour=adjacent
Tabu search,0.9488847722589103,0.04526690468264109,0.4,167.05,56.3218897335476,tabu_size=200; nbour=Hamming
Tabu search,0.7540284980832711,0.3891052631183769,0.3,151.8,76.69049210265487,tabu_size=200; nbour=adjacent
Tabu search,0.9508221936478791,0.056216707870571384,0.45,163.1,57.728858057574456,tabu_size=400; nbour=Hamming
Tabu search,0.7443401582287883,0.3843679939913049,0.2,176.7,54.601041054274106,tabu_size=400; nbour=adjacent
Tabu search,0.9570702833958579,0.0473523974974291,0.45,160.05,59.11494156124553,tabu_size=700; nbour=Hamming
Tabu search,0.7951103255524097,0.34530455361211465,0.25,165.45,66.64317787962048,tabu_size=700; nbour=adjacent
Tabu search,0.9446693360429879,0.04109413578152973,0.25,170.4,59.15225670829652,tabu_size=1000; nbour=Hamming
Tabu search,0.7486508451894902,0.3862991620206118,0.25,162.15,69.90766466523802,tabu_size=1000; nbour=adjacent
Tabu search,0.9488781150436141,0.04154235428792763,0.35,173.55,45.60410300100547,tabu_size=2000; nbour=Hamming
Tabu search,0.7928396836899501,0.3446362916430006,0.25,161.7,69.2251095302397,tabu_size=2000; nbour=adjacent
Tabu search,0.9334903649381179,0.03910197443688875,0.2,214.7,79.35735299065999,tabu_size=4; nbour=Hamming
Tabu search,0.7368219591172273,0.3826759672533665,0.25,161.8,132.82818343931936,tabu_size=4; nbour=adjacent
Tabu search,0.94939117520357,0.04120895328835567,0.35,284.05,105.62469557726295,tabu_size=8; nbour=Hamming
Tabu search,0.6913081006904109,0.41190981823227857,0.15,249.8,136.01958063378035,tabu_size=8; nbour=adjacent
Tabu search,0.9517535521235254,0.03713533642081158,0.35,282.25,165.28695143836816,tabu_size=16; nbour=Hamming
Tabu search,0.6922111607243404,0.41064183578863,0.05,382.4,78.70959280799259,tabu_size=16; nbour=adjacent
Tabu search,0.96573256805255,0.0364734992487965,0.5,263.85,146.91324865912858,tabu_size=32; nbour=Hamming
Tabu search,0.8945971601182878,0.21276890691763597,0.15,350.45,122.13990037312907,tabu_size=32; nbour=adjacent
Tabu search,0.9478431734789172,0.03588414036669336,0.3,308.2,147.63454167211967,tabu_size=64; nbour=Hamming
Tabu search,0.864410674985484,0.2973948582623897,0.35,300.5,150.88004995255076,tabu_size=64; nbour=adjacent
Tabu search,0.9511918153999457,0.03610603461741972,0.3,322.1,126.00622373935595,tabu_size=100; nbour=Hamming
Tabu search,0.7605279743044459,0.39144256871918315,0.25,323.6,142.4050560900139,tabu_size=100; nbour=adjacent
Tabu search,0.951609981071888,0.03726260000641949,0.35,292.75,155.15862002615597,tabu_size=200; nbour=Hamming
Tabu search,0.8549274190468593,0.2937867311588917,0.2,331.3,141.6080952190903,tabu_size=200; nbour=adjacent
Tabu search,0.9484874367343362,0.04011683478415809,0.35,300.55,141.96162379875395,tabu_size=400; nbour=Hamming
Tabu search,0.7474637303740431,0.384350402287366,0.1,363.4,112.70894047571335,tabu_size=400; nbour=adjacent
Tabu search,0.9517535521235254,0.03713533642081158,0.35,297.5,147.80054127099805,tabu_size=700; nbour=Hamming
Tabu search,0.7153643343401329,0.42460525721228703,0.2,344.25,131.04714900812567,tabu_size=700; nbour=adjacent
Tabu search,0.9709648508383343,0.03729328306966078,0.6,228.75,157.56798866721496,tabu_size=1000; nbour=Hamming
Tabu search,0.7115927233633143,0.423402203911388,0.25,334.75,135.55689230958188,tabu_size=1000; nbour=adjacent
Tabu search,0.9530477893752415,0.036481486199327236,0.35,286.95,159.46109078293742,tabu_size=2000; nbour=Hamming
Tabu search,0.9438369871636364,0.03158295077466916,0.2,331.5,141.19434161914265,tabu_size=2000; nbour=adjacent
Tabu search,0.9515009136518024,0.046683246642513034,0.45,188.65,86.90846667009704,tabu_size=4; nbour=Hamming
Tabu search,0.8137141033514229,0.2883087333140335,0.25,283.1,284.14690418495627,tabu_size=4; nbour=adjacent
Tabu search,0.942638557582593,0.034458914665450924,0.25,284.45,131.4676165849458,tabu_size=8; nbour=Hamming
Tabu search,0.8830882924010244,0.21181720450534428,0.2,296.95,190.72809938427227,tabu_size=8; nbour=adjacent
Tabu search,0.9478155065894572,0.032757650052066434,0.25,552.55,265.09590618054483,tabu_size=16; nbour=Hamming
Tabu search,0.9608132128855379,0.031113304802576274,0.35,616.3,292.2416267766326,tabu_size=16; nbour=adjacent
Tabu search,0.96340168738897,0.028615951257746568,0.35,557.8,341.0634452476702,tabu_size=32; nbour=Hamming
Tabu search,0.9548496363552563,0.025327780486958135,0.2,619.3,266.84454374469755,tabu_size=32; nbour=adjacent
