GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.8023288771758111,0.2680915266531528,0.2,88.05,26.262791369660533,tabu_size=200; nbour=adjacent
Tabu search,0.7351909343778542,0.3510939313272177,0.15,94.8,13.347974417589793,tabu_size=400; nbour=Hamming
Tabu search,0.7233543108578657,0.38823957798625897,0.3,88.15,20.630266472754105,tabu_size=400; nbour=adjacent
Tabu search,0.8191901460677604,0.29315410597720803,0.15,95.2,14.12202460511128,tabu_size=700; nbour=Hamming
Tabu search,0.7737428545458043,0.3649495166739313,0.35,89.25,18.887130121077853,tabu_size=700; nbour=adjacent
Tabu search,0.6083519390460603,0.46068500688598746,0.2,91.75,22.02839077191069,tabu_size=1000; nbour=Hamming
Tabu search,0.6634135310741287,0.4051000330378293,0.1,96.55,10.679419459877021,tabu_size=1000; nbour=adjacent
Tabu search,0.8881328903791728,0.10443635848742461,0.2,96.35,10.638930496307566,tabu_size=2000; nbour=Hamming
Tabu search,0.7414716461513284,0.36399393799051943,0.15,95.75,11.57981456082773,tabu_size=2000; nbour=adjacent
Tabu search,0.898031628689378,0.17735083417169548,0.5,145.6,55.86770086552694,tabu_size=4; nbour=Hamming
Tabu search,0.9161456627179311,0.10363819901865563,0.25,170.95,46.591703575907836,tabu_size=4; nbour=adjacent
Tabu search,0.9194203507082656,0.2255437381627846,0.7,140.75,60.78250700567341,tabu_size=8; nbour=Hamming
Tabu search,0.8464015473630908,0.29745420486523716,0.35,166.2,57.08221218005151,tabu_size=8; nbour=adjacent
Tabu search,0.9230283513555259,0.09952983913390884,0.25,181.6,42.970491711111904,tabu_size=16; nbour=Hamming
Tabu search,0.8556015872707403,0.3047234239288629,0.45,149.6,67.18583810674139,tabu_size=16; nbour=adjacent
Tabu search,0.7225964180114474,0.43115859512703814,0.5,155.45,55.02772028714256,tabu_size=32; nbour=Hamming
Tabu search,0.788934062391644,0.35597997873024284,0.45,154.8,59.58947275448823,tabu_size=32; nbour=adjacent
Tabu search,0.8541875363519524,0.3116503084684271,0.6,144.4,60.93603203360061,tabu_size=64; nbour=Hamming
Tabu search,0.8099405816903877,0.3668256859487933,0.6,144.2,62.17513464738981,tabu_size=64; nbour=adjacent
Tabu search,0.9253612615923601,0.23062258985636214,0.6,156.15,54.8445410611715,tabu_size=100; nbour=Hamming
Tabu search,0.9345871280560548,0.22334279213703429,0.7,146.75,59.18292339055778,tabu_size=100; nbour=adjacent
Tabu search,0.8564002156169805,0.3249516426721108,0.6,156.55,51.57669302270062,tabu_size=200; nbour=Hamming
Tabu search,0.8796932976085186,0.2302173585275246,0.5,149.7,65.63864394506767,tabu_size=200; nbour=adjacent
Tabu search,0.8496388405443901,0.24367373993171623,0.35,177.8,37.78415150910707,tabu_size=400; nbour=Hamming
Tabu search,0.9270501209759311,0.22244052922733393,0.45,154.05,67.2086108204972,tabu_size=400; nbour=adjacent
Tabu search,0.8986125301121151,0.2297303669034245,0.55,142.4,64.00032894652307,tabu_size=700; nbour=Hamming
Tabu search,0.9453129117705283,0.07170933945650683,0.45,164.7,51.91298387433381,tabu_size=700; nbour=adjacent
Tabu search,0.9676973321069686,0.05653167456547073,0.5,142.4,68.17732297781318,tabu_size=1000; nbour=Hamming
Tabu search,0.8570186093420524,0.3068282190456872,0.7,119.55,71.21463111054165,tabu_size=1000; nbour=adjacent
Tabu search,0.930931568397002,0.1691373730567378,0.55,166.6,44.32345226911631,tabu_size=2000; nbour=Hamming
