pnpoly_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.7972539151534412,0.09186972005767531,0.02,25,0.0,walksize=1.0; no_improve=25; iterations=100000,25
BestILS,0.8550900717544248,0.0906882018758614,0.02,49.84,1.131370849898476,walksize=1.0; no_improve=25; iterations=100000,50
BestILS,0.8651405734470486,0.12232912573812843,0.14,99.92,0.3958973274443148,walksize=1.0; no_improve=25; iterations=100000,100
BestILS,0.9703016906580839,0.04915422325556191,0.56,184.64,26.167248574490664,walksize=1.0; no_improve=25; iterations=100000,200
BestILS,0.9890978964353009,0.02454259949536746,0.78,290.32,111.53629225411753,walksize=1.0; no_improve=25; iterations=100000,400
BestILS,0.9978904241206437,0.011877674520027985,0.94,363.24,213.25682131349208,walksize=0.05; no_improve=25; iterations=100000,800
BestILS,1.0,0.0,1.0,407.32,271.2806694784077,walksize=0.05; no_improve=25; iterations=100000,1600
