pnpoly_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.9596353165667506,0.03050139847333446,0.0,25.84,0.3703280399090206,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,25
Genetic local search,0.9754981953173681,0.020376168740142586,0.06,50.74,0.44308749769345207,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,50
Genetic local search,0.9869086447345093,0.013334541647915494,0.28,101.28,1.0505586463342993,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,100
Genetic local search,0.9919770760327346,0.0073314394372805715,0.3,207.12,2.9598676197645415,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,200
Genetic local search,0.9976103012556877,0.0041485488295044705,0.6,411.58,2.2595827680601315,pop_size=20; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,400
Genetic local search,0.9999697053578902,0.00021421546869457888,0.98,821.08,3.262902176321702,pop_size=40; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,800
Genetic local search,0.9999697053578902,0.00021421546869457888,0.98,1636.4,4.69041575982343,pop_size=80; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,1600
