GEMM_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
PSO,0.6772082210783098,0.245755747637536,0.0,22.41,6.906438220160149,nr_particles=10; k=2; scaling=1000,25
PSO,0.6926065883796052,0.272688664273511,0.0,39.91,17.633814509101942,nr_particles=10; k=2; scaling=1000,50
PSO,0.881408717760971,0.07406778544789253,0.03,78.19,2.4482316850817822,nr_particles=10; k=5; scaling=10,75
PSO,0.886935033055568,0.14327985782564162,0.03,102,9.229946868315071,nr_particles=10; k=5; scaling=10,100
PSO,0.9070288666553253,0.13947437657982986,0.04,151.9,19.96031416120852,nr_particles=15; k=7; scaling=1000,150
PSO,0.9472415271681434,0.05115620533708219,0.06,206.05,4.443528946113606,nr_particles=20; k=10; scaling=1000,200
PSO,0.9774946480066804,0.02841242747716254,0.17,404.6,11.392891634610583,nr_particles=28; k=9; scaling=100,400
PSO,0.987130247271672,0.020187842603687355,0.31,607.59,8.708633821117008,nr_particles=42; k=13; scaling=1000,600
PSO,0.9898827117694319,0.020185402407441478,0.28,810.04,12.543194057803506,nr_particles=56; k=11; scaling=1000,800
PSO,0.9912124153153404,0.01615481658215949,0.29,1024.83,16.484492253281108,nr_particles=100; k=10; scaling=1000,1000
PSO,0.9988276201253281,0.003295666112134147,0.51,2043.51,27.928659115682585,nr_particles=200; k=20; scaling=1000,2000
