GEMM_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.6597689303120133,0.32668635490508047,0.02,25.84,0.3703280399090206,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,25
Genetic local search,0.7457577708226597,0.3344631976834421,0.02,50.08,1.3376799897965286,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,50
Genetic local search,0.9306311951791151,0.06061317531040832,0.1,100.98,0.9145089013302412,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,100
Genetic local search,0.9622453560728936,0.031515395240432675,0.12,208.48,2.3839600051432175,pop_size=16; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,200
Genetic local search,0.9816266841863477,0.011970131619188211,0.14,411.4,1.6659862556700857,pop_size=20; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,400
Genetic local search,0.9902450002976327,0.008760693454807659,0.38,822.76,2.8611400610560107,pop_size=40; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,800
Genetic local search,0.9977084748637073,0.005078845579826717,0.82,1644.5,4.011463166313992,pop_size=80; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,1600
