MI50_GEMM_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.44011832567072007,0.3614487116762444,0.0,25.92,0.27404751561786966,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,25
Genetic local search,0.6366776182744054,0.32273883728773545,0.0,50.14,1.229069666413568,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,50
Genetic local search,0.8191468345740147,0.18198369671964387,0.0,101.06,1.3910794516548386,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,100
Genetic local search,0.9366231235406459,0.08780824860998361,0.18,207.82,2.0171711855558354,pop_size=16; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,200
Genetic local search,0.9830823281296255,0.03128001279781513,0.2,412.02,1.9218401046276201,pop_size=20; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,400
Genetic local search,0.9927032075054724,0.007926613932396288,0.48,822.9,2.6049403612586386,pop_size=40; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,800
Genetic local search,0.9966272726423074,0.004853930786922342,0.66,1644.86,3.175222955372824,pop_size=80; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,1600
